society_id,orig_org_id,base_org_id,suffix
FULL-1AD-TRANS-STUB,30-MEDBDE,30-MEDBDE,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,3-13-FABN-155,3-13-FABN-155,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,317-MAINTCO,317-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,372-CGO-TRANSCO,372-CGO-TRANSCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,377-HVY-TRKCO,377-HVY-TRKCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,3-BDE-1-AD,3-BDE,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,40-ENGBN,40-ENGBN,2-BDE.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,416-POL-TRKCO,416-POL-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,41-FABDE,41-FABDE,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,4-1-FABN,4-1-FABN,3-BDE.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,41-POL-TRKCO,41-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,4-27-FABN,4-27-FABN,2-BDE.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,452-ORDCO,452-ORDCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,501-MIBN-CEWI,501-MIBN-CEWI,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,501-MPCO,501-MPCO,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,512-MAINTCO,512-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,515-POL-TRKCO,515-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,51-MDM-TRKCO,51-MDM-TRKCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,529-ORDCO,529-ORDCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,541-POL-TRKCO,541-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,584-MAINTCO,584-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,588-MAINTCO,588-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,594-MDM-TRKCO,594-MDM-TRKCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,596-MAINTCO,596-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,5-CORPS,5-CORPS,ARMY.MIL
FULL-1AD-TRANS-STUB,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,5-MAINTCO,5-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,66-MDM-TRKCO,66-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,68-MDM-TRKCO,68-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,69-ADABDE,69-ADABDE,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,69-CHEMCO,69-CHEMCO,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,702-EODDET,702-EODDET,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,70-ENGBN,70-ENGBN,3-BDE.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,71-ORDCO,71-ORDCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,720-EODDET,720-EODDET,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,77-MAINTCO,77-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,7-CSG,7-CSG,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,7-TCGP-TPTDD,7-TCGP-TPTDD,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,AVNBDE-1-AD,AVNBDE,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,AWR-2,AWR-2,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,DIVARTY-1-AD,DIVARTY,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,DLAHQ,DLAHQ,MIL
FULL-1AD-TRANS-STUB,FORSCOM,FORSCOM,MIL
FULL-1AD-TRANS-STUB,HNS,HNS,MIL
FULL-1AD-TRANS-STUB,JSRCMDSE,JSRCMDSE,NATO.GOV
FULL-1AD-TRANS-STUB,NATO,NATO,GOV
FULL-1AD-TRANS-STUB,NCA,OSD,GOV
FULL-1AD-TRANS-STUB,OSC,OSC,MIL
FULL-1AD-TRANS-STUB,RSA,RSA,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,TRANSCOM-STUB,TRANSCOM-STUB,MIL
FULL-1AD-TRANS-STUB,USAEUR,USAEUR,MIL
FULL-1AD-TRANS-STUB,USEUCOM,USEUCOM,MIL
SMALL-1AD-TRANS-STUB,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL
SMALL-1AD-TRANS-STUB,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,1-27-FABN,1-27-FABN,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,130-ENGBDE,130-ENGBDE,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
SMALL-1AD-TRANS-STUB,16-CSG,16-CSG,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
SMALL-1AD-TRANS-STUB,181-TCBN,181-TCBN,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,18-PERISH-SUBPLT,18-PERISH-SUBPLT,29-SPTGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,1-AD,1-AD,ARMY.MIL
SMALL-1AD-TRANS-STUB,200-MMC,200-MMC,21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
SMALL-1AD-TRANS-STUB,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,28-TCBN,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
SMALL-1AD-TRANS-STUB,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,41-FABDE,41-FABDE,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
SMALL-1AD-TRANS-STUB,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,5-CORPS,5-CORPS,ARMY.MIL
SMALL-1AD-TRANS-STUB,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,7-CSG,7-CSG,5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
SMALL-1AD-TRANS-STUB,AWR-2,AWR-2,21-TSC.ARMY.MIL
SMALL-1AD-TRANS-STUB,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
SMALL-1AD-TRANS-STUB,DLAHQ,DLAHQ,MIL
SMALL-1AD-TRANS-STUB,FORSCOM,FORSCOM,MIL
SMALL-1AD-TRANS-STUB,HNS,HNS,MIL
SMALL-1AD-TRANS-STUB,NCA,OSD,GOV
SMALL-1AD-TRANS-STUB,OSC,OSC,MIL
SMALL-1AD-TRANS-STUB,TRANSCOM-STUB,TRANSCOM-STUB,MIL
SMALL-1AD-TRANS-STUB,USAEUR,USAEUR,MIL
SMALL-1AD-TRANS-STUB,USEUCOM,USEUCOM,MIL
TINY-1AD-TRANS-STUB,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL
TINY-1AD-TRANS-STUB,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
TINY-1AD-TRANS-STUB,16-CSG,16-CSG,5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
TINY-1AD-TRANS-STUB,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,1-AD,1-AD,ARMY.MIL
TINY-1AD-TRANS-STUB,200-MMC,200-MMC,21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
TINY-1AD-TRANS-STUB,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,28-TCBN,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
TINY-1AD-TRANS-STUB,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
TINY-1AD-TRANS-STUB,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,5-CORPS,5-CORPS,ARMY.MIL
TINY-1AD-TRANS-STUB,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,7-CSG,7-CSG,5-CORPS.ARMY.MIL
TINY-1AD-TRANS-STUB,AWR-2,AWR-2,21-TSC.ARMY.MIL
TINY-1AD-TRANS-STUB,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
TINY-1AD-TRANS-STUB,DLAHQ,DLAHQ,MIL
TINY-1AD-TRANS-STUB,HNS,HNS,MIL
TINY-1AD-TRANS-STUB,NCA,OSD,GOV
TINY-1AD-TRANS-STUB,OSC,OSC,MIL
TINY-1AD-TRANS-STUB,TRANSCOM-STUB,TRANSCOM-STUB,MIL
TINY-1AD-TRANS-STUB,USAEUR,USAEUR,MIL
TINY-1AD-TRANS-STUB,USEUCOM,USEUCOM,MIL
